saving only one halfx,y
5.282225511924003314e+01,3.183861059597061782e+01
5.280608770608788660e+01,3.205301201412529366e+01
5.278959642867938840e+01,3.226741343227998016e+01
5.277277270474549198e+01,3.248181485043465955e+01
5.275560763773388828e+01,3.269621626858935315e+01
5.273809200252085816e+01,3.291061768674403254e+01
5.272021623033343474e+01,3.312501910489871193e+01
5.270197039283078055e+01,3.333942052305341264e+01
5.268334418528945662e+01,3.355382194120808492e+01
5.266432690883343781e+01,3.376822335936277142e+01
5.264490745164489027e+01,3.398262477751745081e+01
5.263554815697498412e+01,3.408429524137748245e+01
5.262507426908718600e+01,3.419702619567214441e+01
5.260481536266576086e+01,3.441142761382682380e+01
5.258411825774718551e+01,3.462582903198150319e+01
5.256296997994988374e+01,3.484023045013618258e+01
5.254135703011353797e+01,3.505463186829087618e+01
5.251926535774624227e+01,3.526903328644555558e+01
5.249668033284057600e+01,3.548343470460024207e+01
5.247358671594039947e+01,3.569783612275493567e+01
5.244996862633066570e+01,3.591223754090961506e+01
5.242580950821150054e+01,3.612663895906429445e+01
5.242114673882031184e+01,3.616742823077731117e+01
5.240109209470594465e+01,3.634104037721897384e+01
5.237579836953819523e+01,3.655544179537366745e+01
5.234990952620406546e+01,3.676984321352835394e+01
5.232340592444086269e+01,3.698424463168303333e+01
5.229626704378551239e+01,3.719864604983770562e+01
5.226847143399162121e+01,3.741304746799241343e+01
5.223999666205462944e+01,3.762744888614707861e+01
5.221081925557161441e+01,3.784185030430176511e+01
5.220674532066561113e+01,3.787135166530301689e+01
5.218091464213628683e+01,3.805625172245645871e+01
5.215025708444184005e+01,3.827065314061114520e+01
5.211881961073284941e+01,3.848505455876582459e+01
5.208657394021265219e+01,3.869945597692050399e+01
5.205349040297454621e+01,3.891385739507519759e+01
5.201953785398161045e+01,3.912825881322987698e+01
5.199234390251093174e+01,3.929599852991908193e+01
5.198468358057323258e+01,3.934266023138455637e+01
5.194889320292254098e+01,3.955706164953924286e+01
5.191213056681021243e+01,3.977146306769393647e+01
5.187435762801381856e+01,3.998586448584861586e+01
5.183553432753786439e+01,4.020026590400329525e+01
5.179561845682667354e+01,4.041466732215798885e+01
5.177794248435625235e+01,4.050770007859799904e+01
5.175456551200944944e+01,4.062906874031266824e+01
5.171232853612178104e+01,4.084347015846734763e+01
5.166885794813101995e+01,4.105787157662202702e+01
5.162410135745920314e+01,4.127227299477672773e+01
5.157800336254853590e+01,4.148667441293140712e+01
5.156354106620156585e+01,4.155262637568571193e+01
5.153050533184418214e+01,4.170107583108608651e+01
5.148154516537775294e+01,4.191547724924076590e+01
5.143105703491697511e+01,4.212987866739545950e+01
5.137897110039943271e+01,4.234428008555013889e+01
5.134913964804687225e+01,4.246408602469099236e+01
5.132521320008616783e+01,4.255868150370482539e+01
5.126970451154957686e+01,4.277308292185951899e+01
5.121236118024166473e+01,4.298748434001419838e+01
5.115309391196709754e+01,4.320188575816887067e+01
5.113473822989219286e+01,4.326685676932978453e+01
5.109180752510207668e+01,4.341628717632355716e+01
5.102840045784233780e+01,4.363068859447825076e+01
5.096276422512173099e+01,4.384509001263293015e+01
5.092033681173750637e+01,4.397978464314029168e+01
5.089478281910057689e+01,4.405949143078761665e+01
5.082433204626246948e+01,4.427389284894229604e+01
5.075127879315950707e+01,4.448829426709698964e+01
5.070593539358283408e+01,4.461751001379062842e+01
5.067548021168281736e+01,4.470269568525166903e+01
5.059678281337686201e+01,4.491709710340634132e+01
5.051502146072666477e+01,4.513149852156104203e+01
5.049153397542814758e+01,4.519159027687400254e+01
5.043001824148094414e+01,4.534589993971572142e+01
5.034158120987638796e+01,4.556030135787040081e+01
5.027713255727346109e+01,4.571128901981732895e+01
5.024950297603455596e+01,4.577470277602508730e+01
5.015355912172821462e+01,4.598910419417977380e+01
5.006273113911878170e+01,4.618411874197864364e+01
5.005350641706156978e+01,4.620350561233446030e+01
4.994908080825160823e+01,4.641790703048913969e+01
4.984832972096408099e+01,4.661626201251655033e+01
4.983999514148507615e+01,4.663230844864381908e+01
4.972593658156255714e+01,4.684670986679851268e+01
4.963392830280940160e+01,4.701284147437223737e+01
4.960656367649125542e+01,4.706111128495319917e+01
4.948150301004735496e+01,4.727551270310787856e+01
4.941952688465472221e+01,4.737813176199323806e+01
4.935034537321836723e+01,4.748991412126256506e+01
4.921264137187046117e+01,4.770431553941725156e+01
4.920512546650004282e+01,4.771572242759517479e+01
4.906789637134951221e+01,4.791871695757192384e+01
4.899072404834534922e+01,4.802874446457376933e+01
4.891556465822345956e+01,4.813311837572661744e+01
4.877632263019066983e+01,4.831975643743770377e+01
4.875504267398389402e+01,4.834751979388130394e+01
4.858566114391809521e+01,4.856192121203599044e+01
4.856192121203599044e+01,4.859106864998810948e+01
4.840667588479561800e+01,4.877632263019067693e+01
4.834751979388130394e+01,4.884463689952159626e+01
4.821725702520041068e+01,4.899072404834534211e+01
4.813311837572660323e+01,4.908214731946827669e+01
4.801647630923918797e+01,4.920512546650004992e+01
4.791871695757193095e+01,4.930509704406017590e+01
4.780329207391449842e+01,4.941952688465472932e+01
4.770431553941724445e+01,4.951479900287772296e+01
4.757653138720347386e+01,4.963392830280940160e+01
4.748991412126255796e+01,4.971240898780448703e+01
4.733486870041285499e+01,4.984832972096408099e+01
4.727551270310788567e+01,4.989894807767735330e+01
4.707680019452633502e+01,5.006273113911878170e+01
4.706111128495319917e+01,5.007532132325717811e+01
4.684670986679851268e+01,5.024238578868647664e+01
4.680061277197621195e+01,5.027713255727346109e+01
4.663230844864381908e+01,5.040084362947457208e+01
